48.816322	2.388887
48.821568	2.381177
48.820511	2.382346
48.819599	2.384686
48.819401	2.384978
48.819065	2.386221
48.817043	2.387682
48.815212	2.389729
48.815163	2.389802
48.813480	2.391482
48.811359	2.393528
48.809433	2.395500
48.809002	2.396962
48.810299	2.396524
48.811069	2.395867
48.812706	2.394771
48.814297	2.393310
48.816128	2.392361
48.817619	2.390973
48.819065	2.389292
48.819065	2.389292
48.820702	2.388415
48.822769	2.386149
48.823639	2.384614
48.823204	2.382055
48.822338	2.380812
48.822002	2.380885
48.821568	2.381177
